# borrowed-silence 示例账本：地铁通勤耳机党小陈的一个月
# 列：日期  时间  声源  时长  [dB覆盖]  [耳塞NRR]
# symptom 行：日期  时间  symptom  症状名 —— 不计剂量，是身体开出的对账单
2026-08-12	07:50	metro	0:50
2026-08-12	08:45	headphone-loud	1:00
2026-08-12	18:10	metro	0:50
2026-08-12	19:05	headphone-normal	0:45
2026-08-13	07:50	metro	0:50
2026-08-13	08:45	headphone-loud	1:00
2026-08-13	18:10	metro	0:50
2026-08-13	19:05	headphone-normal	0:45
2026-08-15	20:30	ktv	2:30
2026-08-15	23:00	symptom	muffled
2026-08-17	07:50	metro	0:50
2026-08-17	08:45	headphone-loud	1:00
2026-08-17	18:10	metro	0:50
2026-08-17	19:05	headphone-normal	0:45
2026-08-18	07:50	metro	0:50
2026-08-18	08:45	headphone-loud	1:00
2026-08-18	18:10	metro	0:50
2026-08-18	19:05	headphone-normal	0:45
2026-08-19	07:50	metro	0:50
2026-08-19	08:45	headphone-loud	1:00
2026-08-19	18:10	metro	0:50
2026-08-19	19:05	headphone-normal	0:45
2026-08-20	07:50	metro	0:50
2026-08-20	08:45	headphone-loud	1:00
2026-08-20	18:10	metro	0:50
2026-08-20	19:05	headphone-normal	0:45
2026-08-21	07:50	metro	0:50
2026-08-21	08:45	headphone-loud	1:00
2026-08-21	18:10	metro	0:50
2026-08-21	19:05	headphone-normal	0:45
2026-08-22	20:30	livehouse	2:30
2026-08-22	23:50	symptom	tinnitus
2026-08-24	07:50	metro	0:50
2026-08-24	08:45	headphone-loud	1:00
2026-08-24	18:10	metro	0:50
2026-08-24	19:05	headphone-normal	0:45
2026-08-25	07:50	metro	0:50
2026-08-25	08:45	headphone-loud	1:00
2026-08-25	18:10	metro	0:50
2026-08-25	19:05	headphone-normal	0:45
2026-08-26	07:50	metro	0:50
2026-08-26	08:45	headphone-loud	1:00
2026-08-26	18:10	metro	0:50
2026-08-26	19:05	headphone-normal	0:45
2026-08-27	07:50	metro	0:50
2026-08-27	08:45	headphone-loud	1:00
2026-08-27	18:10	metro	0:50
2026-08-27	19:05	headphone-normal	0:45
2026-08-28	07:50	metro	0:50
2026-08-28	08:45	headphone-loud	1:00
2026-08-28	18:10	metro	0:50
2026-08-28	19:05	headphone-normal	0:45
2026-08-30	14:00	cafe	2:00
2026-08-31	07:50	metro	0:50
2026-08-31	08:45	headphone-loud	1:00
2026-08-31	18:10	metro	0:50
2026-08-31	19:05	headphone-normal	0:45
2026-09-01	07:50	metro	0:50
2026-09-01	08:45	headphone-loud	1:00
2026-09-01	18:10	metro	0:50
2026-09-01	19:05	headphone-normal	0:45
2026-09-02	07:50	metro	0:50
2026-09-02	08:45	headphone-loud	1:00
2026-09-02	18:10	metro	0:50
2026-09-02	19:05	headphone-normal	0:45
2026-09-03	07:50	metro	0:50
2026-09-03	08:45	headphone-loud	1:00
2026-09-03	18:10	metro	0:50
2026-09-03	19:05	headphone-normal	0:45
2026-09-04	07:50	metro	0:50
2026-09-04	08:45	headphone-loud	1:00
2026-09-04	18:10	metro	0:50
2026-09-04	19:05	headphone-normal	0:45
2026-09-05	20:30	livehouse	2:30
2026-09-05	23:40	symptom	tinnitus
2026-09-06	14:00	cafe	1:30
