# che 的浇水日志 —— 一行一次浇水，date	plant	[note]
# Fern：前四个月勤恳的四天一轮，七月起滑坡，四次迟到（5/11/8/8/13）
2026-05-02	Fern
2026-05-06	Fern
2026-05-10	Fern
2026-05-14	Fern
2026-05-18	Fern
2026-05-22	Fern
2026-05-26	Fern
2026-05-30	Fern
2026-06-03	Fern
2026-06-07	Fern
2026-06-11	Fern
2026-06-15	Fern
2026-06-19	Fern
2026-06-23	Fern
2026-06-27	Fern
2026-07-01	Fern
2026-07-05	Fern
2026-07-09	Fern
2026-07-20	Fern	出差回来补的
2026-07-28	Fern
2026-08-05	Fern
2026-08-18	Fern	再也没浇过
# NervePlant：一路四天一轮，两次迟到（5、7）
2026-05-02	NervePlant
2026-05-06	NervePlant
2026-05-10	NervePlant
2026-05-14	NervePlant
2026-05-18	NervePlant
2026-05-23	NervePlant	晚了两天
2026-05-27	NervePlant
2026-05-31	NervePlant
2026-06-04	NervePlant
2026-06-08	NervePlant
2026-06-12	NervePlant
2026-06-16	NervePlant
2026-06-20	NervePlant
2026-06-24	NervePlant
2026-06-28	NervePlant
2026-07-02	NervePlant
2026-07-06	NervePlant
2026-07-10	NervePlant
2026-07-14	NervePlant
2026-07-18	NervePlant
2026-07-22	NervePlant
2026-07-26	NervePlant
2026-07-30	NervePlant
2026-08-03	NervePlant
2026-08-07	NervePlant
2026-08-11	NervePlant
2026-08-15	NervePlant
2026-08-19	NervePlant
2026-08-26	NervePlant	这一轮隔了七天
# Calathea：四五天一轮，两次六天（6/6）
2026-06-01	Calathea	到家第一浇
2026-06-05	Calathea
2026-06-10	Calathea
2026-06-14	Calathea
2026-06-19	Calathea
2026-06-23	Calathea
2026-06-28	Calathea
2026-07-02	Calathea
2026-07-07	Calathea
2026-07-13	Calathea	迟到一天
2026-07-18	Calathea
2026-07-22	Calathea
2026-07-27	Calathea
2026-08-01	Calathea
2026-08-05	Calathea
2026-08-10	Calathea
2026-08-16	Calathea	周末补浇
2026-08-21	Calathea
2026-08-26	Calathea
# Ivy：标准五天一轮，只在八月迟到一次（9）
2026-05-02	Ivy
2026-05-07	Ivy
2026-05-12	Ivy
2026-05-17	Ivy
2026-05-22	Ivy
2026-05-27	Ivy
2026-06-01	Ivy
2026-06-06	Ivy
2026-06-11	Ivy
2026-06-16	Ivy
2026-06-21	Ivy
2026-06-26	Ivy
2026-07-01	Ivy
2026-07-06	Ivy
2026-07-11	Ivy
2026-07-16	Ivy
2026-07-21	Ivy
2026-07-26	Ivy
2026-07-31	Ivy
2026-08-05	Ivy
2026-08-10	Ivy
2026-08-15	Ivy
2026-08-20	Ivy
2026-08-29	Ivy	晚了四天
# Orchid：七月还是七天一轮的自律，八月突然一天一浇（烂根高发剧本），随后彻底遗忘
2026-05-01	Orchid
2026-05-08	Orchid
2026-05-15	Orchid
2026-05-22	Orchid
2026-05-29	Orchid
2026-06-05	Orchid
2026-06-12	Orchid
2026-06-19	Orchid
2026-06-26	Orchid
2026-07-03	Orchid
2026-07-10	Orchid
2026-07-17	Orchid
2026-07-24	Orchid
2026-07-31	Orchid
2026-08-06	Orchid	搬到空调房后开始勤浇
2026-08-13	Orchid
2026-08-16	Orchid	一天一浇
2026-08-19	Orchid	一天一浇
2026-08-22	Orchid	一天一浇
# Monstera：雷打不动的七天
2026-05-04	Monstera
2026-05-11	Monstera
2026-05-18	Monstera
2026-05-25	Monstera
2026-06-01	Monstera
2026-06-08	Monstera
2026-06-15	Monstera
2026-06-22	Monstera
2026-06-29	Monstera
2026-07-06	Monstera
2026-07-13	Monstera
2026-07-20	Monstera
2026-07-27	Monstera
2026-08-03	Monstera
2026-08-10	Monstera
2026-08-17	Monstera
2026-08-24	Monstera
2026-08-31	Monstera
# Pothos：六天一轮
2026-05-03	Pothos
2026-05-09	Pothos
2026-05-15	Pothos
2026-05-21	Pothos
2026-05-27	Pothos
2026-06-02	Pothos
2026-06-08	Pothos
2026-06-14	Pothos
2026-06-20	Pothos
2026-06-26	Pothos
2026-07-02	Pothos
2026-07-08	Pothos
2026-07-14	Pothos
2026-07-20	Pothos
2026-07-26	Pothos
2026-08-01	Pothos
2026-08-07	Pothos
2026-08-13	Pothos
2026-08-19	Pothos
2026-08-25	Pothos
2026-08-27	Pothos
# Jade：十四天一轮，从没让 line 过
2026-04-10	Jade
2026-04-24	Jade
2026-05-08	Jade
2026-05-22	Jade
2026-06-05	Jade
2026-06-19	Jade
2026-07-03	Jade
2026-07-17	Jade
2026-07-31	Jade
2026-08-04	Jade
# Aloe：十四天一轮
2026-04-06	Aloe
2026-04-20	Aloe
2026-05-04	Aloe
2026-05-18	Aloe
2026-06-01	Aloe
2026-06-15	Aloe
2026-06-29	Aloe
2026-07-13	Aloe
2026-07-27	Aloe
2026-08-10	Aloe
2026-08-20	Aloe
# Haworthia：九天一轮
2026-05-01	Haworthia
2026-05-10	Haworthia
2026-05-19	Haworthia
2026-05-28	Haworthia
2026-06-06	Haworthia
2026-06-15	Haworthia
2026-06-24	Haworthia
2026-07-03	Haworthia
2026-07-12	Haworthia
2026-07-21	Haworthia
2026-07-30	Haworthia
2026-08-08	Haworthia
2026-08-17	Haworthia
2026-08-26	Haworthia
2026-09-02	Haworthia	今天顺手浇的
