# tang 的浇水日志 —— 每周日例行，五盆同浇
2026-07-05	SnakePlant
2026-07-05	ZZPlant
2026-07-05	Jade
2026-07-05	Rubber
2026-07-05	Aloe
2026-07-12	SnakePlant
2026-07-12	ZZPlant
2026-07-12	Jade
2026-07-12	Rubber
2026-07-12	Aloe
2026-07-19	SnakePlant
2026-07-19	ZZPlant
2026-07-19	Jade
2026-07-19	Rubber
2026-07-19	Aloe
2026-07-26	SnakePlant
2026-07-26	ZZPlant
2026-07-26	Jade
2026-07-26	Rubber
2026-07-26	Aloe
2026-08-02	SnakePlant
2026-08-02	ZZPlant
2026-08-02	Jade
2026-08-02	Rubber
2026-08-02	Aloe
2026-08-09	SnakePlant
2026-08-09	ZZPlant
2026-08-09	Jade
2026-08-09	Rubber
2026-08-09	Aloe
2026-08-16	SnakePlant
2026-08-16	ZZPlant
2026-08-16	Jade
2026-08-16	Rubber
2026-08-16	Aloe
2026-08-23	SnakePlant
2026-08-23	ZZPlant
2026-08-23	Jade
2026-08-23	Rubber
2026-08-23	Aloe
2026-08-30	SnakePlant
2026-08-30	ZZPlant
2026-08-30	Jade
2026-08-30	Rubber		上周忘了擦叶子的灰
2026-08-30	Aloe
