# 王姐家的三表账本 · 每月抄一次表，只记物理用量不记金额
# 列：月份(YYYY-MM)<TAB>表名<TAB>用量（电=度 / 水=吨 / 燃气=方）
# 故事线：2025-06 水表突变一次（马桶漏水，修好了）；2026 年夏电表开始偷跑。
2024-01	electric	320
2024-02	electric	300
2024-03	electric	280
2024-04	electric	240
2024-05	electric	200
2024-06	electric	180
2024-07	electric	190
2024-08	electric	200
2024-09	electric	210
2024-10	electric	250
2024-11	electric	290
2024-12	electric	330
2025-01	electric	330
2025-02	electric	310
2025-03	electric	290
2025-04	electric	250
2025-05	electric	210
2025-06	electric	190
2025-07	electric	200
2025-08	electric	210
2025-09	electric	220
2025-10	electric	260
2025-11	electric	300
2025-12	electric	340
2026-01	electric	335
2026-02	electric	315
2026-03	electric	295
2026-04	electric	255
2026-05	electric	225
2026-06	electric	230
2026-07	electric	280
2026-08	electric	395
2024-01	water	8
2024-02	water	8
2024-03	water	9
2024-04	water	9
2024-05	water	10
2024-06	water	11
2024-07	water	12
2024-08	water	12
2024-09	water	10
2024-10	water	9
2024-11	water	8
2024-12	water	8
2025-01	water	8
2025-02	water	9
2025-03	water	9
2025-04	water	10
2025-05	water	11
2025-06	water	25
2025-07	water	13
2025-08	water	13
2025-09	water	10
2025-10	water	9
2025-11	water	9
2025-12	water	8
2026-01	water	8
2026-02	water	9
2026-03	water	9
2026-04	water	10
2026-05	water	11
2026-06	water	12
2026-07	water	13
2026-08	water	13
2024-01	gas	320
2024-02	gas	300
2024-03	gas	280
2024-04	gas	240
2024-05	gas	150
2024-06	gas	90
2024-07	gas	60
2024-08	gas	60
2024-09	gas	120
2024-10	gas	200
2024-11	gas	260
2024-12	gas	300
2025-01	gas	330
2025-02	gas	310
2025-03	gas	290
2025-04	gas	250
2025-05	gas	160
2025-06	gas	95
2025-07	gas	65
2025-08	gas	65
2025-09	gas	125
2025-10	gas	210
2025-11	gas	270
2025-12	gas	310
2026-01	gas	335
2026-02	gas	315
2026-03	gas	295
2026-04	gas	255
2026-05	gas	165
2026-06	gas	100
2026-07	gas	70
2026-08	gas	70
