date	kg	kcal	note
2026-06-08	68.0	1599	开始认真记录，目标 62kg，办了体脂秤
2026-06-09	68.2	1380
2026-06-10	67.8	1564
2026-06-11	68.1	1456
2026-06-12	67.8	1490
2026-06-13	67.8	1459
2026-06-14	68.2	1538	晚上海底捞庆功，菜没数，凭记忆估的
2026-06-15	69.2	1431	秤 +1.4kg？！昨晚就吃了一顿火锅
2026-06-16	68.7	1495
2026-06-17	68.3	1521
2026-06-18	67.9	1610
2026-06-19	67.7	1355
2026-06-20	67.8	1591
2026-06-21	67.5	1556
2026-06-22	67.6	1470
2026-06-23	67.5	1518
2026-06-24	67.3	1472
2026-06-25	67.3	1598
2026-06-26	67.2	1512
2026-06-27	67.5	1487
2026-06-28	67.4	1486
2026-06-29	67.4	1488
2026-06-30	67.4	1489
2026-07-01	67.1	1447
2026-07-02	67.4	1623
2026-07-03	67.4	1385
2026-07-04	67.5	1283
2026-07-05	67.1	1492
2026-07-06	67.2	1491
2026-07-07	66.8	1522
2026-07-08	67.1	1487
2026-07-09	66.8	1491
2026-07-10	66.9	1519
2026-07-11	67.4	1558
2026-07-12	66.7	1473
2026-07-13	67.3	1316	暑假出游，早午饭经常并一顿
2026-07-14	67.2	1524
2026-07-15	67.1	1397	景区小吃…记不清了，估个低的
2026-07-16	67.3	1261
2026-07-17	67.3	1559
2026-07-18	67.5	1419
2026-07-19	67.2	1296
2026-07-20	67.2	947	代餐奶昔开局，这周对自己下狠手
2026-07-21	67.1	1013
2026-07-22	66.9	962
2026-07-23	67.0	952
2026-07-24	66.7	941
2026-07-25	67.0	977
2026-07-26	66.3	1049
2026-07-27	66.3	1176	代餐太饿受不了，恢复正常饮食
2026-07-28	66.3	1120
2026-07-29	66.0	1236
2026-07-30	66.8	1203
2026-07-31	65.9	1246
2026-08-01	66.3	1266
2026-08-02	66.2	1190
