# 缓胖 · Fat Creep 样例事件账 —— kind ∈ care | cost；care 行金额计入开销账（一行两用，不双记）
# date	pet	kind	item	amount	note
date	pet	kind	item	amount	note
2025-09-15	胖橘	care	狂犬疫苗	80	社区卫生站
2025-09-15	胖橘	care	猫三联	180
2025-09-20	胖橘	care	体检	300	基础体检套餐
2025-10-12	胖橘	cost	渴望鸡猫粮 6kg	385	涨价前 385
2026-01-08	胖橘	cost	尿闭住院 4 天	2600	公猫高发 导尿+住院
2026-01-08	胖橘	cost	处方罐头 x6	180	术后处方粮
2026-02-20	胖橘	cost	渴望鸡猫粮 6kg	385
2026-03-15	胖橘	cost	猫砂 4 袋	120
2026-05-30	胖橘	cost	渴望鸡猫粮 6kg	385
2026-06-10	胖橘	care	体内驱虫	40
2026-06-18	胖橘	cost	猫抓板	45
2026-07-25	胖橘	care	体外驱虫	60	八月那次忘了
2026-08-10	胖橘	cost	渴望鸡猫粮 6kg	399	涨价了
2025-12-10	豆包	care	体检	280	领养前基线
2026-01-20	豆包	care	狂犬疫苗	60
2026-01-20	豆包	care	犬四联	160
2026-01-22	豆包	cost	大型犬粮 12kg	320
2026-03-20	豆包	cost	大型犬粮 12kg	320
2026-05-25	豆包	cost	洗澡美容	120
2026-06-01	豆包	cost	牵引绳	65
2026-07-28	豆包	cost	大型犬粮 12kg	335	换包装涨了
2026-08-28	豆包	care	体内驱虫	35
