# 缓胖 · Fat Creep 样例秤账 —— 三只宠：胖橘（蠕涨）、豆包（平稳）、糯米（新领养薄账）
# date	pet	weight_kg	note
date	pet	weight_kg	note
2025-07-01	胖橘	4.10	绝育后基线
2025-08-02	胖橘	4.15
2025-09-03	胖橘	4.19
2025-10-06	胖橘	4.24
2025-11-08	胖橘	4.28
2025-12-11	胖橘	4.33
2026-01-13	胖橘	4.37
2026-02-15	胖橘	4.41
2026-03-20	胖橘	4.48
2026-04-22	胖橘	4.55
2026-05-25	胖橘	4.62
2026-06-27	胖橘	4.68
2026-07-30	胖橘	4.75	夏天食欲旺盛
2026-09-01	胖橘	4.86
2026-03-05	豆包	8.20	领养体检记录
2026-04-06	豆包	8.14
2026-05-08	豆包	8.22
2026-06-09	豆包	8.18
2026-07-12	豆包	8.25
2026-08-13	豆包	8.19
2026-09-01	豆包	8.23
2026-08-20	糯米	2.35	接回家
2026-09-03	糯米	2.41	幼猫生长中
